Ssn,TestTrial,Cond,WordCategory,StudyTrial,Cue,Target,Resp,Corr,Conf,RespType,OldSsn,OldRespType,nCorr,NoRec,Incorr,SimpleResp,Expt
1,1,1,1,2,10,tone,basis,0,2,4,1,12,0,0,1,3,1
1,2,1,2,4,118,spread,spread,1,5,1,1,1,1,0,0,1,1
1,3,2,2,7,95,jobs,jobs,1,6,1,1,1,1,0,0,1,1
1,4,1,1,8,20,basis,east,0,3,5,1,3,0,0,1,3,1
1,5,1,2,16,97,solid,solid,1,4,1,1,1,1,0,0,1,1
1,6,2,1,19,13,feet,feet,1,5,1,1,1,1,0,0,1,1
1,7,2,2,1,12,love,heart,0,4,7,1,5,0,0,1,3,1
1,8,1,1,3,29,inner,large,0,2,7,1,7,0,0,1,3,1
1,9,2,1,11,104,dropped,fail,0,1,7,1,7,0,0,1,3,1
1,10,1,2,13,56,straight,straight,1,3,1,1,1,1,0,0,1,1
1,11,1,2,14,14,useful,open,0,2,7,1,7,0,0,1,3,1
1,12,2,2,15,32,indicate,follow,0,1,7,1,7,0,0,1,3,1
1,13,1,1,17,127,birds,birds,1,3,1,1,1,1,0,0,1,1
1,14,1,1,10,128,spot,heart,0,2,7,1,7,0,0,1,3,1
1,15,1,1,12,2,increase,order,0,2,5,1,3,0,0,1,3,1
1,16,2,2,6,35,activity,image,0,1,7,1,7,0,0,1,3,1
1,17,2,1,20,25,heavy,large,0,3,7,1,7,0,0,1,3,1
1,18,1,2,18,77,smith,basis,0,2,3,1,11,0,0,1,3,1
1,19,2,1,21,126,final,last,0,2,7,1,5,0,0,1,3,1
1,20,1,2,9,62,goods,market,0,3,7,1,7,0,0,1,3,1
1,21,2,2,22,17,membership,open,0,1,7,1,7,0,0,1,3,1
1,22,2,2,5,143,orders,orders,1,3,1,1,1,1,0,0,1,1
1,23,2,1,23,111,east,east,1,2,1,1,1,1,0,0,1,1
1,24,2,1,24,3,exchange,jobs,0,1,5,1,3,0,0,1,3,1
2,1,2,1,18,161,breath,feeling,0,1,4,2,12,0,0,1,3,1
2,2,2,2,2,158,industry,feet,0,1,5,2,3,0,0,1,3,1
2,3,2,2,3,25,rising,face,0,3,7,2,7,0,0,1,3,1
2,4,1,2,11,199,mouth,nive,0,3,7,2,7,0,0,1,3,1
2,5,1,2,7,188,increasing,word,0,1,7,2,7,0,0,1,3,1
2,6,1,2,5,177,door,nice,0,1,7,2,7,0,0,1,3,1
2,7,1,2,12,147,feeling,study,0,1,7,2,7,0,0,1,3,1
2,8,2,1,1,181,sharp,face,0,1,7,2,7,0,0,1,3,1
2,9,2,2,15,114,apply,juice,0,1,7,2,7,0,0,1,3,1
2,10,1,1,20,92,start,young,0,1,7,2,7,0,0,1,3,1
2,11,2,2,4,90,situations,seat,0,1,4,2,12,0,0,1,3,1
2,12,1,1,19,200,costs,butter,0,1,7,2,7,0,0,1,3,1
2,13,2,2,21,36,fall,film,0,1,7,2,7,0,0,1,3,1
2,14,1,2,6,1,spread,old,0,1,7,2,7,0,0,1,3,1
2,15,1,2,23,122,circle,need,0,1,7,2,7,0,0,1,3,1
2,16,1,1,8,124,annual,face,0,1,7,2,7,0,0,1,3,1
2,17,1,1,10,35,solid,seat,0,1,4,2,12,0,0,1,3,1
2,18,2,1,17,144,impact,nice,0,1,7,2,7,0,0,1,3,1
2,19,2,1,13,117,anything,feel,0,1,4,2,12,0,0,1,3,1
2,20,2,1,22,175,meeting,butter,0,1,7,2,7,0,0,1,3,1
2,21,2,1,14,76,feet,fun,0,1,7,2,7,0,0,1,3,1
2,22,1,1,16,61,firms,seat,0,1,4,2,12,0,0,1,3,1
2,23,2,2,24,170,inner,young,0,1,7,2,7,0,0,1,3,1
2,24,1,1,9,196,seat,old,0,1,7,2,7,0,0,1,3,1
3,1,2,1,17,115,circle,Circle,0,3,1,3,1,1,0,0,1,1
3,2,1,1,19,37,lady,Lady,0,6,1,3,1,1,0,0,1,1
3,3,1,2,21,180,moon,Moon,0,4,1,3,1,1,0,0,1,1
3,4,2,2,7,153,baseball,block,0,2,5,3,3,0,0,1,3,1
3,5,1,2,22,31,spread,ship,0,5,3,3,11,0,0,1,3,1
3,6,2,1,4,32,economic,circle,0,2,5,3,3,0,0,1,3,1
3,7,1,1,20,172,ideal,ideal,1,5,1,3,1,1,0,0,1,1
3,8,1,1,23,146,supported,supported,1,6,1,3,1,1,0,0,1,1
3,9,1,2,9,163,disease,disease,1,4,1,3,1,1,0,0,1,1
3,10,2,2,6,95,chemical,chemical,1,6,1,3,1,1,0,0,1,1
3,11,2,1,11,124,dozen,object,0,3,4,3,12,0,0,1,3,1
3,12,1,1,24,182,object,husband,0,2,4,3,12,0,0,1,3,1
3,13,1,1,13,177,different,moon,0,4,3,3,11,0,0,1,3,1
3,14,1,2,18,128,husband,husband,1,5,1,3,1,1,0,0,1,1
3,15,2,2,8,98,give,block,0,1,5,3,3,0,0,1,3,1
3,16,2,2,1,87,justice,justice,1,6,1,3,1,1,0,0,1,1
3,17,2,1,2,94,pointed,pointed,1,5,1,3,1,1,0,0,1,1
3,18,1,1,10,68,ship,disease,0,3,4,3,12,0,0,1,3,1
3,19,2,1,3,137,hotel,husband,0,2,4,3,12,0,0,1,3,1
3,20,1,2,12,136,phase,baseball,0,2,5,3,3,0,0,1,3,1
3,21,2,1,14,78,dropped,moon,0,3,4,3,12,0,0,1,3,1
3,22,1,2,15,36,scene,object,0,3,4,3,12,0,0,1,3,1
3,23,2,2,16,114,block,block,1,4,1,3,1,1,0,0,1,1
3,24,2,2,5,142,draw,building,0,4,6,3,4,0,0,1,3,1
4,1,2,2,15,149,powers,powers,1,3,1,4,1,1,0,0,1,1
4,2,1,1,19,174,cars,cells,0,5,3,4,11,0,0,1,3,1
4,3,1,2,12,82,truly,support,0,2,4,4,12,0,0,1,3,1
4,4,1,1,9,181,fresh,fresh,1,3,1,4,1,1,0,0,1,1
4,5,1,2,8,2,mother,mother,1,1,1,4,1,1,0,0,1,1
4,6,2,1,20,105,projects,share,0,1,7,4,7,0,0,1,3,1
4,7,2,1,18,1,exchange,spread,0,3,7,4,7,0,0,1,3,1
4,8,2,1,17,203,metal,smile,0,1,7,4,7,0,0,1,3,1
4,9,1,1,11,98,impact,impact,1,2,1,4,1,1,0,0,1,1
4,10,1,2,21,14,brown,brown,1,6,1,4,1,1,0,0,1,1
4,11,2,2,4,205,laid,object,0,2,5,4,3,0,0,1,3,1
4,12,2,1,14,138,object,fresh,0,1,4,4,12,0,0,1,3,1
4,13,1,2,22,97,support,support,1,5,1,4,1,1,0,0,1,1
4,14,1,2,23,51,cells,impact,0,3,4,4,12,0,0,1,3,1
4,15,2,2,13,202,begins,cars,0,2,4,4,12,0,0,1,3,1
4,16,1,1,16,197,thin,thin,1,5,1,4,1,1,0,0,1,1
4,17,1,1,24,69,symbol,symbols,0,6,2,4,2,1,0,0,1,1
4,18,1,1,2,13,significant,support,0,1,3,4,11,0,0,1,3,1
4,19,2,2,1,117,rich,cells,0,1,4,4,12,0,0,1,3,1
4,20,2,2,6,207,money,smile,0,1,7,4,7,0,0,1,3,1
4,21,2,2,10,191,warren,mother,0,1,4,4,12,0,0,1,3,1
4,22,2,1,3,204,weather,skinny,0,2,7,4,7,0,0,1,3,1
4,23,2,1,5,206,theater,mother,0,2,4,4,12,0,0,1,3,1
4,24,1,2,7,193,teeth,thin,0,1,3,4,11,0,0,1,3,1
5,1,2,2,22,24,giving,giving,1,2,1,5,1,1,0,0,1,1
5,2,2,2,23,99,issued,farmer,0,2,7,5,7,0,0,1,3,1
5,3,1,2,24,185,held,happy,0,1,7,5,7,0,0,1,3,1
5,4,1,2,4,3,homes,sides,0,3,6,5,4,0,0,1,3,1
5,5,2,2,5,2,course,sides,0,2,6,5,4,0,0,1,3,1
5,6,2,2,11,107,score,smile,0,1,7,5,7,0,0,1,3,1
5,7,1,2,16,115,garden,easy,0,1,7,5,7,0,0,1,3,1
5,8,2,1,10,57,meet,flesh,0,2,4,5,12,0,0,1,3,1
5,9,1,2,13,175,flesh,human,0,2,3,5,11,0,0,1,3,1
5,10,1,1,19,37,merely,giving,0,2,5,5,3,0,0,1,3,1
5,11,2,1,20,141,lady,smile,0,2,7,5,7,0,0,1,3,1
5,12,2,1,9,30,kept,easy,0,2,7,5,7,0,0,1,3,1
5,13,2,1,8,4,learned,being,0,1,4,5,12,0,0,1,3,1
5,14,1,1,1,84,made,murder,0,2,4,5,12,0,0,1,3,1
5,15,1,1,2,92,animal,human,0,1,7,5,7,0,0,1,3,1
5,16,2,1,3,189,things,happy,0,1,7,5,7,0,0,1,3,1
5,17,1,1,6,140,approach,giving,0,1,5,5,3,0,0,1,3,1
5,18,2,1,7,52,help,being,0,1,4,5,12,0,0,1,3,1
5,19,1,2,14,183,labor,slow,0,4,6,5,4,0,0,1,3,1
5,20,1,1,18,186,being,sharp,0,1,5,5,3,0,0,1,3,1
5,21,1,2,12,111,murder,fast,0,1,7,5,7,0,0,1,3,1
5,22,2,2,15,190,food,tell,0,3,6,5,4,0,0,1,3,1
5,23,1,1,17,184,farm,field,0,1,7,5,5,0,0,1,3,1
5,24,2,2,21,60,sharp,sharp,1,5,1,5,1,1,0,0,1,1
6,1,2,2,7,153,waiting,cities,0,2,4,6,12,0,0,1,3,1
6,2,2,1,2,119,sitting,shop,0,1,4,6,12,0,0,1,3,1
6,3,1,2,17,176,items,voting,0,3,5,6,3,0,0,1,3,1
6,4,2,2,1,60,attend,voting,0,3,5,6,3,0,0,1,3,1
6,5,1,2,8,174,take,looking,0,2,4,6,12,0,0,1,3,1
6,6,2,1,4,157,vote,voting,0,3,2,6,2,1,0,0,1,1
6,7,1,1,14,124,shop,shopping,0,3,2,6,2,1,0,0,1,1
6,8,1,2,19,78,cities,shopping,0,3,4,6,12,0,0,1,3,1
6,9,2,2,21,52,visit,stock,0,3,5,6,3,0,0,1,3,1
6,10,2,2,3,128,volume,gross,0,6,5,6,3,0,0,1,3,1
6,11,2,2,11,165,seek,looking,0,3,4,6,12,0,0,1,3,1
6,12,1,1,22,84,hotel,hotel,1,6,1,6,1,1,0,0,1,1
6,13,1,2,23,92,symbol,stock,0,2,5,6,3,0,0,1,3,1
6,14,1,1,13,98,terms,stock,0,3,5,6,3,0,0,1,3,1
6,15,2,1,24,29,vital,looking,0,2,4,6,12,0,0,1,3,1
