Ssn,TestTrial,Cond,WordCategory,StudyTrial,Cue,Target,Resp,Corr,Conf,RespType,OldRespType,nCorr,NoRec,Incorr,SimpleResp,Expt
1,1,2,2,7,78,vision,smile,0,4,7,7,0,0,1,3,2
1,2,1,1,11,87,unusual,no,8,2,8,8,0,1,0,8,2
1,3,2,1,13,121,visit,upper,0,5,5,3,0,0,1,3,2
1,4,2,2,17,85,cool,no,8,1,8,8,0,1,0,8,2
1,5,1,1,5,117,baby,television,0,6,4,12,0,0,1,3,2
1,6,2,1,9,95,thin,no,8,2,8,8,0,1,0,8,2
1,7,2,1,1,46,slight,no,8,1,8,8,0,1,0,8,2
1,8,2,1,14,15,symbol,eyes,0,4,6,4,0,0,1,3,2
1,9,2,1,18,170,sitting,sitting,1,6,1,1,1,0,0,1,2
1,10,1,2,10,36,acting,visits,0,5,5,3,0,0,1,3,2
1,11,2,2,16,98,upper,upper,1,5,1,1,1,0,0,1,2
1,12,1,2,4,62,efforts,success,0,5,7,7,0,0,1,3,2
1,13,1,1,6,50,justice,no,8,2,8,8,0,1,0,8,2
1,14,2,2,12,89,player,no,8,2,8,8,0,1,0,8,2
1,15,2,1,15,70,lips,lips,1,4,1,1,1,0,0,1,2
1,16,1,2,19,38,television,television,1,5,1,1,1,0,0,1,2
1,17,1,1,21,35,someone,show,0,4,7,7,0,0,1,3,2
1,18,1,1,22,74,ultimate,eyes,0,5,6,4,0,0,1,3,2
1,19,2,2,23,143,soldiers,soldiers,1,5,1,1,1,0,0,1,2
1,20,1,2,20,157,free,freedom,0,5,7,5,0,0,1,3,2
1,21,2,2,24,29,made,no,8,2,8,8,0,1,0,8,2
1,22,1,2,8,132,experience,no,8,2,8,8,0,1,0,8,2
1,23,1,2,3,86,university,university,1,3,1,1,1,0,0,1,2
1,24,1,1,2,9,asking,no,8,2,8,8,0,1,0,8,2
3,1,1,2,17,202,hair,hair,1,3,1,1,1,0,0,1,2
3,2,2,2,21,210,firm,firm,1,2,1,1,1,0,0,1,2
3,3,2,2,12,207,material,beauty,0,2,5,3,0,0,1,3,2
3,4,2,1,19,209,still,no,8,5,8,8,0,1,0,8,2
3,5,2,2,23,178,stayed,stayed,1,5,1,1,1,0,0,1,2
3,6,1,1,24,203,goods,no,8,3,8,8,0,1,0,8,2
3,7,1,2,4,196,yesterday,chain,0,6,3,11,0,0,1,3,2
3,8,1,2,6,98,forced,no,8,4,8,8,0,1,0,8,2
3,9,1,2,22,82,session,no,8,6,8,8,0,1,0,8,2
3,10,1,1,14,8,chain,no,8,3,8,8,0,1,0,8,2
3,11,2,2,3,80,hill,no,8,2,8,8,0,1,0,8,2
3,12,1,2,5,87,actual,no,8,2,8,8,0,1,0,8,2
3,13,2,1,20,55,passing,no,8,1,8,8,0,1,0,8,2
3,14,2,1,15,11,scene,beauty,0,1,5,3,0,0,1,3,2
3,15,1,2,8,133,exchange,no,8,2,8,8,0,1,0,8,2
3,16,1,1,10,152,sexual,no,8,1,8,8,0,1,0,8,2
3,17,2,1,9,206,beauty,no,8,3,8,8,0,1,0,8,2
3,18,2,1,18,120,hole,no,8,2,8,8,0,1,0,8,2
3,19,2,1,16,208,built,no,8,2,8,8,0,1,0,8,2
3,20,1,1,1,201,years,no,8,2,8,8,0,1,0,8,2
3,21,1,1,2,47,yellow,no,8,1,8,8,0,1,0,8,2
3,22,1,1,7,145,stated,no,8,1,8,8,0,1,0,8,2
3,23,2,2,11,114,keeping,no,8,5,8,8,0,1,0,8,2
3,24,2,2,13,155,home,no,8,4,8,8,0,1,0,8,2
4,1,1,1,9,169,dust,no,8,3,8,8,0,1,0,8,2
4,2,2,1,15,82,sexual,sexual,1,6,1,1,1,0,0,1,2
4,3,1,2,16,67,band,band,1,5,1,1,1,0,0,1,2
4,4,2,1,6,64,fill,no,8,4,8,8,0,1,0,8,2
4,5,1,1,10,10,opening,income,0,4,5,3,0,0,1,3,2
4,6,2,2,11,94,seek,seek,1,4,1,1,1,0,0,1,2
4,7,2,2,13,62,newspaper,prevent,0,3,5,3,0,0,1,3,2
4,8,2,1,17,195,lower,no,8,3,8,8,0,1,0,8,2
4,9,1,1,2,141,apart,no,8,4,8,8,0,1,0,8,2
4,10,2,1,8,76,season,no,8,3,8,8,0,1,0,8,2
4,11,1,2,14,58,charge,no,8,4,8,8,0,1,0,8,2
4,12,2,1,12,83,belief,belief,1,6,1,1,1,0,0,1,2
4,13,1,1,18,92,name,no,8,4,8,8,0,1,0,8,2
4,14,2,1,19,3,rifle,no,8,4,8,8,0,1,0,8,2
4,15,2,2,20,93,rule,no,8,4,8,8,0,1,0,8,2
4,16,2,2,21,65,prevent,no,8,3,8,8,0,1,0,8,2
4,17,1,1,23,13,government,no,8,3,8,8,0,1,0,8,2
4,18,1,2,24,98,formed,no,8,3,8,8,0,1,0,8,2
4,19,2,2,3,49,proud,no,8,3,8,8,0,1,0,8,2
4,20,1,1,4,183,faces,no,8,3,8,8,0,1,0,8,2
4,21,2,2,7,14,income,no,8,3,8,8,0,1,0,8,2
4,22,1,2,22,158,giving,government,0,3,3,11,0,0,1,3,2
4,23,1,2,5,22,hung,asking,0,3,6,4,0,0,1,3,2
4,24,1,2,1,173,ended,formed,0,3,4,12,0,0,1,3,2
2,1,2,1,19,114,spoke,no,8,1,8,8,0,1,0,8,2
2,2,1,2,22,22,audience,no,8,1,8,8,0,1,0,8,2
2,3,1,1,24,82,advice,no,8,1,8,8,0,1,0,8,2
2,4,1,2,21,196,income,chain,0,3,4,12,0,0,1,3,2
2,5,1,1,8,143,daily,no,8,1,8,8,0,1,0,8,2
2,6,1,1,11,87,everybody,laid,0,1,3,11,0,0,1,3,2
2,7,2,1,9,5,league,no,8,1,8,8,0,1,0,8,2
2,8,2,2,16,10,pair,no,8,1,8,8,0,1,0,8,2
2,9,1,2,20,133,laid,no,8,1,8,8,0,1,0,8,2
2,10,2,1,1,107,exist,no,8,1,8,8,0,1,0,8,2
2,11,2,2,6,165,belief,no,8,1,8,8,0,1,0,8,2
2,12,2,1,7,122,rising,no,8,1,8,8,0,1,0,8,2
2,13,1,2,14,158,argument,no,8,1,8,8,0,1,0,8,2
2,14,2,2,13,119,academic,no,8,1,8,8,0,1,0,8,2
2,15,1,1,17,198,neck,no,8,1,8,8,0,1,0,8,2
2,16,2,2,3,142,putting,no,8,1,8,8,0,1,0,8,2
2,17,1,1,2,161,entirely,income,0,3,3,11,0,0,1,3,2
2,18,2,2,10,166,same,no,8,1,8,8,0,1,0,8,2
2,19,2,1,5,46,flesh,no,8,1,8,8,0,1,0,8,2
2,20,1,2,18,24,lead,no,8,1,8,8,0,1,0,8,2
2,21,2,2,4,8,human,no,8,1,8,8,0,1,0,8,2
2,22,2,1,12,100,direct,no,8,1,8,8,0,1,0,8,2
2,23,1,2,15,94,chain,no,8,1,8,8,0,1,0,8,2
2,24,1,1,23,197,John,no,8,1,8,8,0,1,0,8,2
8,1,2,1,8,60,wheel,no,8,2,8,8,0,1,0,8,2
8,2,1,2,12,2,strike,no,8,2,8,8,0,1,0,8,2
8,3,2,1,23,76,wood,wood,1,6,1,1,1,0,0,1,2
8,4,2,2,5,203,jazz,no,8,2,8,8,0,1,0,8,2
8,5,2,2,9,81,wonder,no,8,2,8,8,0,1,0,8,2
8,6,1,2,16,79,actually,no,8,2,8,8,0,1,0,8,2
8,7,1,2,24,121,volume,no,8,4,8,8,0,1,0,8,2
8,8,2,1,19,206,armed,no,8,3,8,8,0,1,0,8,2
8,9,1,1,1,28,economy,no,8,3,8,8,0,1,0,8,2
8,10,1,2,11,11,available,no,8,2,8,8,0,1,0,8,2
8,11,1,2,15,177,closed,closed,1,6,1,1,1,0,0,1,2
8,12,2,2,6,208,fear,scary,0,5,7,5,0,0,1,3,2
8,13,2,2,10,168,clay,no,8,2,8,8,0,1,0,8,2
8,14,1,1,18,46,probably,no,8,2,8,8,0,1,0,8,2
8,15,1,1,3,68,musical,closed,0,5,3,11,0,0,1,3,2
8,16,2,2,7,48,slight,no,8,2,8,8,0,1,0,8,2
8,17,2,1,14,154,welcome,available,0,4,4,12,0,0,1,3,2
8,18,2,2,20,17,stand,no,8,2,8,8,0,1,0,8,2
8,19,2,1,4,120,watch,no,8,2,8,8,0,1,0,8,2
8,20,1,2,13,40,pair,pair,1,6,1,1,1,0,0,1,2
8,21,1,1,17,163,right,available,0,4,3,11,0,0,1,3,2
8,22,2,1,21,132,window,no,8,2,8,8,0,1,0,8,2
